V,H,S,M
0.4370861069626263,0.6554326947880081,0,1
0.9556428757689246,0.767013257472235,0,1
0.7587945476302645,0.27542110891324906,0,1
0.6387926357773329,0.612386689646299,0,0
0.24041677639819287,0.5645713848293739,0,0
0.2403950683025824,0.799547339109444,0,0
0.15227525095137953,0.8654783544331345,1,0
0.8795585311974417,0.06094109432964813,1,1
0.6410035105688879,0.6566179271529133,0,1
0.737265320016441,0.09665221920775612,0,1
0.1185260448662222,0.5439727985696203,0,1
0.9729188669457949,0.3088694561393103,0,0
0.8491983767203796,0.326098939569927,1,1
0.29110519961044856,0.3676626531071209,1,0
0.26364247048639056,0.6091632041446491,0,1
0.2650640588680905,0.35064496910189225,1,1
0.373818018663584,0.7094291455312524,1,1
0.5722807884690141,0.41407464701648267,0,0
0.48875051677790415,0.11151788027896276,0,0
0.36210622617823773,0.7553838582356965,0,1
0.6506676052501416,0.30718249213343535,0,1
0.22554447458683766,0.43949019163933634,1,1
0.3629301836816964,0.6668994948997113,0,0
0.4297256589643226,0.3492105414338408,1,0
0.5104629857953323,0.10092709053204406,0,0
0.8066583652537123,0.3865289423115322,1,1
0.2797064039425238,0.9000037244248731,0,0
0.5628109945722505,0.6275609575687023,0,1
0.6331731119758383,0.6543312338004862,1,0
0.14180537144799796,0.6190539382738759,1,1
0.6467903667112945,0.2290929250634931,1,1
0.2534717113185624,0.42650047769205207,0,0
0.1585464336867516,0.7258458185269864,1,1
0.9539969835279999,0.14123560779784322,1,1
0.9690688297671034,0.300067498480741,1,1
0.827557613304815,0.2986871976192682,1,0
0.3741523922560336,0.43881703483505535,1,1
0.1879049026057455,0.9323318668479665,1,0
0.7158097238609412,0.11075229201543974,1,0
0.4961372443656412,0.5168308949425355,1,1
0.20983441136030095,0.21142821381098942,1,0
0.5456592191001431,0.9236088908687696,0,1
0.13094966900369656,0.15197315425471777,0,0
0.9183883618709039,0.4132409021254321,1,1
0.3329019834400152,0.7140964863511455,0,0
0.6962700559185838,0.6840989852247007,0,1
0.3805399684804699,0.430455773204539,1,1
0.5680612190600297,0.36187175115744635,1,1
0.5920392514089517,0.4078511406975835,1,1
0.26636900997297436,0.28784863684277534,1,0
0.9726261649881027,0.23479964483611981,1,0
0.7976195410250031,0.48473572780300095,1,1
0.9455490474077702,0.29168038046084654,0,0
0.905344615384884,0.30871549840752505,1,1
0.6381099809299766,0.6410804571271014,0,1
0.9296868115208051,0.9216835985299029,1,0
0.17964325184672755,0.5932734805034375,1,0
0.27638457617723067,0.11928152035846964,0,1
0.14070456001948428,0.11802525246866027,1,0
0.39279729768693794,0.9062808987610094,1,1
0.4498095607205338,0.3175617112766002,0,0
0.34421412859650635,0.1328602874742279,1,0
0.8458637582367364,0.5891401284353434,0,0
0.4210779940242304,0.6112839004612395,1,0
0.3528410587186427,0.6336543381068194,1,0
0.5884264748424236,0.29066182507178717,0,1
0.2268318024772864,0.06359961579302753,1,0
0.8219772826786357,0.9185138325090246,0,0
0.16709557931179375,0.27580374112199224,0,1
0.9881982429404655,0.6584236592472927,0,1
0.7950202923669917,0.6859668828908386,1,1
0.2788441133807552,0.5990066753715371,1,0
0.10496990541124217,0.33161665479228336,0,0
0.8339152856093507,0.29398662838765915,1,1
0.7361716094628554,0.5879014544324328,1,1
0.7561064512368886,0.8294860702505223,1,1
0.7941433120173511,0.9020603560310559,0,1
0.16664018656068133,0.14531522396338187,1,0
0.4226191556898453,0.18934575133794784,0,0
0.20428215357261675,0.9002626329047716,1,0
0.8767930832880342,0.7128817055013132,1,0
0.6609683141448022,0.8446944423467957,0,0
0.39780822236738433,0.23236937072180885,1,1
0.1572025152574213,0.5788272839984616,0,0
0.379884089544096,0.6810256349757262,1,1
0.3926649898240724,0.6621006969022754,0,1
0.7566455605042577,0.4173365217800283,1,1
0.6738017242196918,0.06385540252217763,1,0
0.8984914683186939,0.5746334511238368,1,1
0.5249934326457544,0.27779138526164787,0,0
0.20763482134447153,0.4552288215286012,0,1
0.7419203085006955,0.9118229135754355,0,0
0.7847065437552077,0.4091317858781912,1,1
0.6051494778125466,0.805821445997984,0,0
0.7938704619591049,0.219686545174326,0,1
0.5444160367279517,0.655214448222526,0,1
0.5704595464437947,0.929306258995049,0,1
